store_id,month,cohort_month,orders
1,1,7,786
1,2,7,826
1,3,7,800
1,4,7,796
1,5,7,749
1,6,7,768
1,7,7,1017
1,8,7,1017
1,9,7,970
1,10,7,1041
1,11,7,978
1,12,7,1043
1,13,7,982
1,14,7,987
1,15,7,968
1,16,7,945
1,17,7,983
1,18,7,998
1,19,7,1004
1,20,7,1048
1,21,7,1060
1,22,7,1012
1,23,7,999
1,24,7,1011
2,1,7,808
2,2,7,806
2,3,7,846
2,4,7,842
2,5,7,801
2,6,7,869
2,7,7,1007
2,8,7,1034
2,9,7,1006
2,10,7,1072
2,11,7,1022
2,12,7,1076
2,13,7,1056
2,14,7,1028
2,15,7,1036
2,16,7,1077
2,17,7,1024
2,18,7,1028
2,19,7,1010
2,20,7,1048
2,21,7,1087
2,22,7,1076
2,23,7,1025
2,24,7,1048
3,1,7,796
3,2,7,770
3,3,7,826
3,4,7,840
3,5,7,783
3,6,7,778
3,7,7,1013
3,8,7,971
3,9,7,958
3,10,7,1000
3,11,7,978
3,12,7,1054
3,13,7,990
3,14,7,1002
3,15,7,951
3,16,7,1060
3,17,7,1067
3,18,7,1008
3,19,7,1024
3,20,7,1031
3,21,7,1013
3,22,7,1032
3,23,7,1043
3,24,7,1037
4,1,7,780
4,2,7,818
4,3,7,832
4,4,7,853
4,5,7,785
4,6,7,780
4,7,7,1054
4,8,7,1052
4,9,7,971
4,10,7,1002
4,11,7,992
4,12,7,1008
4,13,7,1014
4,14,7,991
4,15,7,1048
4,16,7,1008
4,17,7,1035
4,18,7,1047
4,19,7,987
4,20,7,1051
4,21,7,1041
4,22,7,1049
4,23,7,1026
4,24,7,1052
5,1,7,739
5,2,7,767
5,3,7,782
5,4,7,783
5,5,7,789
5,6,7,798
5,7,7,1034
5,8,7,1046
5,9,7,952
5,10,7,1041
5,11,7,983
5,12,7,1023
5,13,7,938
5,14,7,1031
5,15,7,1125
5,16,7,1045
5,17,7,1034
5,18,7,1032
5,19,7,1026
5,20,7,1011
5,21,7,1003
5,22,7,1005
5,23,7,1007
5,24,7,1005
6,1,7,784
6,2,7,777
6,3,7,799
6,4,7,843
6,5,7,776
6,6,7,828
6,7,7,1046
6,8,7,1034
6,9,7,975
6,10,7,1034
6,11,7,1011
6,12,7,966
6,13,7,997
6,14,7,985
6,15,7,991
6,16,7,1030
6,17,7,973
6,18,7,986
6,19,7,1080
6,20,7,1055
6,21,7,1014
6,22,7,989
6,23,7,988
6,24,7,1110
7,1,7,827
7,2,7,784
7,3,7,785
7,4,7,825
7,5,7,813
7,6,7,838
7,7,7,1027
7,8,7,995
7,9,7,1004
7,10,7,1026
7,11,7,1027
7,12,7,1055
7,13,7,1076
7,14,7,1021
7,15,7,1077
7,16,7,1047
7,17,7,1035
7,18,7,1064
7,19,7,1040
7,20,7,990
7,21,7,1076
7,22,7,1069
7,23,7,1080
7,24,7,1063
8,1,7,790
8,2,7,786
8,3,7,816
8,4,7,818
8,5,7,791
8,6,7,827
8,7,7,1023
8,8,7,956
8,9,7,940
8,10,7,1084
8,11,7,1040
8,12,7,1022
8,13,7,995
8,14,7,990
8,15,7,1014
8,16,7,969
8,17,7,1030
8,18,7,1009
8,19,7,992
8,20,7,993
8,21,7,1021
8,22,7,1058
8,23,7,1014
8,24,7,1037
9,1,7,833
9,2,7,804
9,3,7,760
9,4,7,789
9,5,7,811
9,6,7,817
9,7,7,990
9,8,7,1020
9,9,7,997
9,10,7,1007
9,11,7,979
9,12,7,981
9,13,7,979
9,14,7,1023
9,15,7,992
9,16,7,1015
9,17,7,954
9,18,7,1020
9,19,7,1004
9,20,7,1007
9,21,7,1040
9,22,7,986
9,23,7,1050
9,24,7,989
10,1,7,827
10,2,7,785
10,3,7,792
10,4,7,841
10,5,7,756
10,6,7,868
10,7,7,1030
10,8,7,1098
10,9,7,1006
10,10,7,1002
10,11,7,967
10,12,7,1038
10,13,7,1014
10,14,7,1077
10,15,7,1015
10,16,7,1057
10,17,7,1072
10,18,7,1043
10,19,7,1050
10,20,7,1050
10,21,7,998
10,22,7,1062
10,23,7,1083
10,24,7,1117
11,1,7,753
11,2,7,820
11,3,7,855
11,4,7,858
11,5,7,798
11,6,7,858
11,7,7,1033
11,8,7,1083
11,9,7,1061
11,10,7,1032
11,11,7,1062
11,12,7,1051
11,13,7,1076
11,14,7,1050
11,15,7,1011
11,16,7,1033
11,17,7,1000
11,18,7,1009
11,19,7,1044
11,20,7,1078
11,21,7,1044
11,22,7,1057
11,23,7,1152
11,24,7,1037
12,1,7,808
12,2,7,773
12,3,7,790
