member_id,received_email,enrolled_program,annual_spending
1,0,0,65.11
2,1,0,56.47
3,1,1,39.61
4,1,0,64.48
5,1,0,67.14
6,1,1,11.38
7,1,1,50.47
8,1,0,64.34
9,0,0,56.91
10,0,1,22.76
11,1,1,43.72
12,0,0,49.45
13,1,1,15.41
14,0,1,40.51
15,0,0,74.18
16,0,0,67.06
17,1,1,7.35
18,1,1,28.95
19,0,0,41.41
20,0,0,81.25
21,1,1,46.85
22,0,1,34.97
23,1,1,32.18
24,1,0,54.9
25,0,0,71.31
26,1,0,73.65
27,0,0,51.84
28,1,0,50.19
29,0,0,27.83
30,0,1,30.87
31,0,0,53.92
32,0,0,53.08
33,1,1,20.2
34,0,1,20.31
35,0,0,67.85
36,1,0,52.11
37,1,0,60.56
38,1,0,50.58
39,0,1,6.03
40,1,1,34.07
41,0,1,26.38
42,1,1,28.62
43,1,0,67.49
44,1,0,60.87
45,1,0,61.96
46,0,0,46.3
47,1,1,64.92
48,1,0,39.48
49,0,0,43.61
50,0,0,55.38
51,1,0,42.82
52,1,0,56.27
53,0,0,37.28
54,1,0,62.11
55,0,0,46.64
56,1,0,45.53
57,1,0,45.79
58,1,0,55.64
59,1,0,44.59
60,0,0,34.75
61,0,1,22.81
62,1,0,59.26
63,0,0,51.9
64,1,1,42.6
65,1,0,62.06
66,1,0,64.95
67,0,0,31.1
68,1,0,63.08
69,0,0,45.43
70,1,1,36.96
71,0,0,40.73
72,1,0,62.68
73,1,0,55.97
74,0,0,45.3
75,1,1,30.18
76,0,1,56.24
77,1,1,46.36
78,1,1,38.11
79,0,1,45.02
80,1,1,40.81
81,0,1,34.44
82,0,0,59.93
83,1,0,50.32
84,0,0,37.64
85,1,0,60.87
86,1,1,37.03
87,0,1,34.8
88,1,0,53.72
89,1,0,64.1
90,0,1,21.24
91,1,0,56.09
92,0,0,46.74
93,0,0,39.61
94,1,0,40.56
95,0,0,42.01
96,1,0,30.02
97,0,1,40.63
98,1,0,67.62
99,0,1,24.61
100,0,0,41.16
101,1,0,53.8
102,1,1,48.75
103,1,0,67.59
104,0,1,34.1
105,0,0,74.06
106,1,0,29.51
107,1,1,37.12
108,1,0,52.03
109,1,0,36.53
110,1,0,38.95
111,1,0,59.33
112,0,1,32.03
113,1,0,51.11
114,0,1,36.81
115,0,1,21.29
116,0,1,27.78
117,1,0,63.22
118,1,1,33.95
119,1,0,32.27
120,0,0,69.5
121,0,1,17.7
122,1,1,43.54
123,1,0,29.77
124,0,0,32.55
125,0,0,57.96
126,1,0,52.52
127,0,0,40.7
128,0,0,41.68
129,1,0,56.33
130,1,1,31.13
131,1,0,60.35
132,0,0,59.61
133,1,1,54.03
134,0,1,39.64
135,0,1,37.25
136,0,0,80.15
137,1,0,66.89
138,1,1,52.59
139,1,0,52.31
140,0,0,64.87
141,1,1,48.17
142,1,0,74.29
143,1,0,61.9
144,1,0,52.39
145,1,0,50.94
146,0,0,54.33
147,1,1,27.05
148,0,0,50.29
149,1,0,55.84
150,1,1,37.9
151,0,1,56.11
152,0,1,23.4
153,0,1,21.87
154,0,0,43.95
155,1,1,45.81
156,0,0,34.18
157,1,0,49.58
158,1,0,32.87
159,1,0,25.78
160,0,1,35.32
161,0,1,38.28
